OBJECTID,WARD_CODE,WARD_NAME,YEAR,DISADVANTAGED_NUMBER,DISADVANTAGED_PC
1,E05010885,Ashley,2016,766,32.5
2,E05010886,Avonmouth & Lawrence Weston,2016,1147,34.4
3,E05010887,Bedminster,2016,213,17.4
4,E05010888,Bishopston & Ashley Down,2016,110,7.3
5,E05010889,Bishopsworth,2016,388,23.4
6,E05010890,Brislington East,2016,405,27.6
7,E05010891,Brislington West,2016,286,21.4
8,E05010892,Central,2016,268,42.1
9,E05010893,Clifton,2016,91,16.6
10,E05010894,Clifton Down,2016,39,10.4
11,E05010895,Cotham,2016,48,7.7
12,E05010896,Easton,2016,628,33.6
13,E05010897,Eastville,2016,516,27.5
14,E05010898,Filwood,2016,1449,46.5
15,E05010899,Frome Vale,2016,400,34.6
16,E05010900,Hartcliffe & Withywood,2016,2004,52.9
17,E05010901,Henbury & Brentry,2016,638,37.5
18,E05010902,Hengrove & Whitchurch Park,2016,646,28.6
19,E05010903,Hillfields,2016,551,35
20,E05010904,Horfield,2016,398,28.6
21,E05010905,Hotwells & Harbourside,2016,45,23.8
22,E05010906,Knowle,2016,621,28.7
23,E05010907,Lawrence Hill,2016,1638,49.7
24,E05010908,Lockleaze,2016,718,35.9
25,E05010909,Redland,2016,66,3.2
26,E05010910,St George Central,2016,417,29.1
27,E05010911,St George Troopers Hill,2016,64,19.8
28,E05010912,St George West,2016,204,29.7
29,E05010913,Southmead,2016,859,38.8
30,E05010914,Southville,2016,132,11.5
31,E05010915,Stockwood,2016,347,25.2
32,E05010916,Stoke Bishop,2016,259,22.8
33,E05010917,Westbury-on-Trym & Henleaze,2016,127,5.1
34,E05010918,Windmill Hill,2016,327,23.7
35,E06000023,Bristol Average,2016,17176,29.7
36,E05010885,Ashley,2017,767,31.9
37,E05010886,Avonmouth & Lawrence Weston,2017,1133,32.9
38,E05010887,Bedminster,2017,198,16.2
39,E05010888,Bishopston & Ashley Down,2017,112,7.2
40,E05010889,Bishopsworth,2017,373,22.3
41,E05010890,Brislington East,2017,396,26.2
42,E05010891,Brislington West,2017,273,20.8
43,E05010892,Central,2017,272,42.6
44,E05010893,Clifton,2017,81,14.5
45,E05010894,Clifton Down,2017,28,7.7
46,E05010895,Cotham,2017,46,7.7
47,E05010896,Easton,2017,582,31.7
48,E05010897,Eastville,2017,512,26.3
49,E05010898,Filwood,2017,1421,45.4
50,E05010899,Frome Vale,2017,389,31.9
51,E05010900,Hartcliffe & Withywood,2017,2088,53.1
52,E05010901,Henbury & Brentry,2017,627,35.4
53,E05010902,Hengrove & Whitchurch Park,2017,645,27.7
54,E05010903,Hillfields,2017,492,31.2
55,E05010904,Horfield,2017,408,28.1
56,E05010905,Hotwells & Harbourside,2017,53,25.1
57,E05010906,Knowle,2017,621,28.7
58,E05010907,Lawrence Hill,2017,1647,48
59,E05010908,Lockleaze,2017,743,36.1
60,E05010909,Redland,2017,54,2.6
61,E05010910,St George Central,2017,411,27.7
62,E05010911,St George Troopers Hill,2017,70,21.3
63,E05010912,St George West,2017,210,30.3
64,E05010913,Southmead,2017,821,36.4
65,E05010914,Southville,2017,152,12.6
66,E05010915,Stockwood,2017,323,23.7
67,E05010916,Stoke Bishop,2017,260,22.4
68,E05010917,Westbury-on-Trym & Henleaze,2017,133,5.1
69,E05010918,Windmill Hill,2017,350,22.9
70,E06000023,Bristol Average,2017,16691,29.3
71,E05010885,Ashley,2018,749,30.5
72,E05010886,Avonmouth & Lawrence Weston,2018,1131,32
73,E05010887,Bedminster,2018,201,15.7
74,E05010888,Bishopston & Ashley Down,2018,113,7
75,E05010889,Bishopsworth,2018,352,20.8
76,E05010890,Brislington East,2018,363,24.7
